OBJECTID_1,OBJECTID,NAME,ID,GlobalID,created_user,created_date,last_edited_user,last_edited_date,Elk_Zone,Name_sort,regular_deer_url,elkZone_url_1,gmu_wtd_url
1,1,60A,77,7ae37e71-6a94-4e5c-916f-be3fa034064a,idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",Island Park,60A,"<a href=""https://idfg.idaho.gov/node/76956"" target=""_top"">Unit 60A</a>","<a href=""https://idfg.idaho.gov/node/76849"" target=""_top"">Island Park A-Tag Limits</a>","<a href=""https://idfg.idaho.gov/node/77013"" target=""_top"">Unit 60A</a>"
3,3,1,1,b0a5b582-5ac4-4828-8ed7-2904392cbe19,idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",Panhandle,01,"<a href=""https://idfg.idaho.gov/node/76917"" target=""_top"">Unit 1</a>","<a href=""https://idfg.idaho.gov/node/76861"" target=""_top"">Panhandle A-Tag Limits</a> <a href=""https://idfg.idaho.gov/node/76862"""" target=""_top"">Panhandle B-Tag Limits</a>","<a href=""https://idfg.idaho.gov/node/76972"" target=""_top"">Unit 1</a>"
4,4,4A,5,8f6690bc-0e17-451a-97e9-bcefd9ebf90d,idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",Panhandle,04A,"<a href=""https://idfg.idaho.gov/node/76915"" target=""_top"">Unit 4A</a>","<a href=""https://idfg.idaho.gov/node/76861"" target=""_top"">Panhandle A-Tag Limits</a> <a href=""https://idfg.idaho.gov/node/76862"""" target=""_top"">Panhandle B-Tag Limits</a>","<a href=""https://idfg.idaho.gov/node/76981"" target=""_top"">Unit 4A</a>"
5,5,2,2,d009e7fd-a95b-4261-848b-4d9ed9819dad,idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",Panhandle,02,"<a href=""https://idfg.idaho.gov/node/76944"" target=""_top"">Unit 2</a>","<a href=""https://idfg.idaho.gov/node/76861"" target=""_top"">Panhandle A-Tag Limits</a> <a href=""https://idfg.idaho.gov/node/76862"""" target=""_top"">Panhandle B-Tag Limits</a>","<a href=""https://idfg.idaho.gov/node/76996"" target=""_top"">Unit 2</a>"
6,6,4,4,083d93e2-c3a0-4a38-b5c6-cbadf1feab3f,idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",Panhandle,04,"<a href=""https://idfg.idaho.gov/node/76942"" target=""_top"">Unit 4</a>","<a href=""https://idfg.idaho.gov/node/76861"" target=""_top"">Panhandle A-Tag Limits</a> <a href=""https://idfg.idaho.gov/node/76862"""" target=""_top"">Panhandle B-Tag Limits</a>","<a href=""https://idfg.idaho.gov/node/76992"" target=""_top"">Unit 4</a>"
7,7,3,3,1873a79e-c627-4fe3-b97d-624890092060,idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",Panhandle,03,"<a href=""https://idfg.idaho.gov/node/76952"" target=""_top"">Unit 3</a>","<a href=""https://idfg.idaho.gov/node/76861"" target=""_top"">Panhandle A-Tag Limits</a> <a href=""https://idfg.idaho.gov/node/76862"""" target=""_top"">Panhandle B-Tag Limits</a>","<a href=""https://idfg.idaho.gov/node/77012"" target=""_top"">Unit 3</a>"
8,8,5,6,4de10d7d-fba4-4668-b166-b9e3b8a195cc,idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",Panhandle,05,"<a href=""https://idfg.idaho.gov/node/76930"" target=""_top"">Unit 5</a>","<a href=""https://idfg.idaho.gov/node/76861"" target=""_top"">Panhandle A-Tag Limits</a> <a href=""https://idfg.idaho.gov/node/76862"""" target=""_top"">Panhandle B-Tag Limits</a>","<a href=""https://idfg.idaho.gov/node/76979"" target=""_top"">Unit 5</a>"
9,9,6,7,fe4b772a-9073-4c2a-92b2-b628ec15e303,idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",Panhandle,06,"<a href=""https://idfg.idaho.gov/node/76906"" target=""_top"">Unit 6</a>","<a href=""https://idfg.idaho.gov/node/76861"" target=""_top"">Panhandle A-Tag Limits</a> <a href=""https://idfg.idaho.gov/node/76862"""" target=""_top"">Panhandle B-Tag Limits</a>","<a href=""https://idfg.idaho.gov/node/76973"" target=""_top"">Unit 6</a>"
10,10,7,8,680e9d66-0951-4fac-8b94-9a4b09eae258,idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",Panhandle,07,"<a href=""https://idfg.idaho.gov/node/76971"" target=""_top"">Unit 7</a>","<a href=""https://idfg.idaho.gov/node/76861"" target=""_top"">Panhandle A-Tag Limits</a> <a href=""https://idfg.idaho.gov/node/76862"""" target=""_top"">Panhandle B-Tag Limits</a>","<a href=""https://idfg.idaho.gov/node/77038"" target=""_top"">Unit 7</a>"
11,11,8,9,2d85b27f-b30b-49eb-bd67-76a23deb1450,idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",Palouse,08,"<a href=""https://idfg.idaho.gov/node/76902"" target=""_top"">Unit 8</a>","<a href=""https://idfg.idaho.gov/node/76859"" target=""_top"">Palouse A-Tag Limits</a> <a href=""https://idfg.idaho.gov/node/76860"""" target=""_top"">Palouse B-Tag Limits</a>","<a href=""https://idfg.idaho.gov/node/76997"" target=""_top"">Unit 8</a>"
12,12,9,11,e26c29ea-6aac-4aab-b19b-ba92bdd27eb6,idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",Panhandle,09,"<a href=""https://idfg.idaho.gov/node/76969"" target=""_top"">Unit 9</a>","<a href=""https://idfg.idaho.gov/node/76861"" target=""_top"">Panhandle A-Tag Limits</a> <a href=""https://idfg.idaho.gov/node/76862"""" target=""_top"">Panhandle B-Tag Limits</a>","<a href=""https://idfg.idaho.gov/node/77033"" target=""_top"">Unit 9</a>"
13,13,8A,10,6cbf0acc-8762-4d8f-919c-a0a82ec15153,idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",Palouse,08A,"<a href=""https://idfg.idaho.gov/node/76888"" target=""_top"">Unit 8A</a>","<a href=""https://idfg.idaho.gov/node/76859"" target=""_top"">Palouse A-Tag Limits</a> <a href=""https://idfg.idaho.gov/node/76860"""" target=""_top"">Palouse B-Tag Limits</a>","<a href=""https://idfg.idaho.gov/node/76994"" target=""_top"">Unit 8A</a>"
14,14,10A,14,158ca71d-365c-4365-9ad5-4f5b969f2abe,idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",Dworshak,10A,"<a href=""https://idfg.idaho.gov/node/76893"" target=""_top"">Unit 10A</a>","<a href=""https://idfg.idaho.gov/node/76845"" target=""_top"">Dworshak A-Tag Limits</a> <a href=""https://idfg.idaho.gov/node/76846"""" target=""_top"">Dworshak B-Tag Limits</a>","<a href=""https://idfg.idaho.gov/node/76984"" target=""_top"">Unit 10A</a>"
15,15,10,13,01058e8e-6720-40bb-aba7-898a59a33ac1,idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",Lolo,10,"<a href=""https://idfg.idaho.gov/node/76967"" target=""_top"">Unit 10</a>","<a href=""https://idfg.idaho.gov/node/76851"" target=""_top"">Lolo A-Tag Limits</a> <a href=""https://idfg.idaho.gov/node/76852"""" target=""_top"">Lolo B-Tag Limits</a>","<a href=""https://idfg.idaho.gov/node/77039"" target=""_top"">Unit 10</a>"
16,16,12,17,779530e2-eaa2-4ca6-a0bd-12c8e7f86444,idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",Lolo,12,"<a href=""https://idfg.idaho.gov/node/76964"" target=""_top"">Unit 12</a>","<a href=""https://idfg.idaho.gov/node/76851"" target=""_top"">Lolo A-Tag Limits</a> <a href=""https://idfg.idaho.gov/node/76852"""" target=""_top"">Lolo B-Tag Limits</a>","<a href=""https://idfg.idaho.gov/node/77035"" target=""_top"">Unit 12</a>"
17,17,11A,16,9b030d2c-5b1c-4e52-9a5c-65ea0dd6e974,idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",Palouse,11A,"<a href=""https://idfg.idaho.gov/node/76904"" target=""_top"">Unit 11A</a>","<a href=""https://idfg.idaho.gov/node/76859"" target=""_top"">Palouse A-Tag Limits</a> <a href=""https://idfg.idaho.gov/node/76860"""" target=""_top"">Palouse B-Tag Limits</a>","<a href=""https://idfg.idaho.gov/node/76990"" target=""_top"">Unit 11A</a>"
18,18,11,15,5626ae5c-a0d5-4d58-860d-a3d1bc12c391,idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",Hells Canyon,11,"<a href=""https://idfg.idaho.gov/node/76892"" target=""_top"">Unit 11</a>",No general season elk hunts,"<a href=""https://idfg.idaho.gov/node/77001"" target=""_top"">Unit 11</a>"
19,19,17,23,4c16b020-eac5-4470-9574-9e50446f00ad,idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",Selway,17,"<a href=""https://idfg.idaho.gov/node/76962"" target=""_top"">Unit 17</a>","<a href=""https://idfg.idaho.gov/node/76869"" target=""_top"">Selway A-Tag Limits</a> <a href=""https://idfg.idaho.gov/node/76870"""" target=""_top"">Selway B-Tag Limits</a>","<a href=""https://idfg.idaho.gov/node/77032"" target=""_top"">Unit 17</a>"
20,20,16A,22,580a6503-a208-4173-bda3-49e786a5a9ba,idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",Selway,16A,"<a href=""https://idfg.idaho.gov/node/76961"" target=""_top"">Unit 16A</a>","<a href=""https://idfg.idaho.gov/node/76869"" target=""_top"">Selway A-Tag Limits</a> <a href=""https://idfg.idaho.gov/node/76870"""" target=""_top"">Selway B-Tag Limits</a>","<a href=""https://idfg.idaho.gov/node/77040"" target=""_top"">Unit 16A</a>"
21,21,14,19,c5f6e2a3-2e18-4579-b146-ce36af5b6c45,idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",Elk City,14,"<a href=""https://idfg.idaho.gov/node/76882"" target=""_top"">Unit 14</a>","<a href=""https://idfg.idaho.gov/node/76847"" target=""_top"">Elk City A-Tag Limits</a> <a href=""https://idfg.idaho.gov/node/76848"""" target=""_top"">Elk City B-Tag Limits</a>","<a href=""https://idfg.idaho.gov/node/76993"" target=""_top"">Unit 14</a>"
22,22,13,18,43221489-e7c6-429c-9642-48350f729c53,idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",Hells Canyon,13,"<a href=""https://idfg.idaho.gov/node/76922"" target=""_top"">Unit 13</a>",No general season elk hunts,"<a href=""https://idfg.idaho.gov/node/76976"" target=""_top"">Unit 13</a>"
23,23,20,27,4412846f-9984-49ed-9cef-73995802d115,idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",Selway,20,"<a href=""https://idfg.idaho.gov/node/76966"" target=""_top"">Unit 20</a>","<a href=""https://idfg.idaho.gov/node/76869"" target=""_top"">Selway A-Tag Limits</a> <a href=""https://idfg.idaho.gov/node/76870"""" target=""_top"">Selway B-Tag Limits</a>","<a href=""https://idfg.idaho.gov/node/77041"" target=""_top"">Unit 20</a>"
24,24,18,24,5963cee7-0083-4e9c-96c7-ae95b8049c87,idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",Hells Canyon,18,"<a href=""https://idfg.idaho.gov/node/76924"" target=""_top"">Unit 18</a>",No general season elk hunts,"<a href=""https://idfg.idaho.gov/node/76998"" target=""_top"">Unit 18</a>"
25,25,21,29,386f8a21-2d79-457d-b8cf-cfbb3f7ce9c6,idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",Salmon,21,"<a href=""https://idfg.idaho.gov/node/76880"" target=""_top"">Unit 21</a>","<a href=""https://idfg.idaho.gov/node/76865"" target=""_top"">Salmon A-Tag Limits</a> <a href=""https://idfg.idaho.gov/node/76866"""" target=""_top"">Salmon B-Tag Limits</a>","<a href=""https://idfg.idaho.gov/node/76982"" target=""_top"">Unit 21</a>"
26,26,21A,30,18872e40-1edd-4141-9dfa-31edf0148fc9,idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",Salmon,21A,"<a href=""https://idfg.idaho.gov/node/76881"" target=""_top"">Unit 21A</a>","<a href=""https://idfg.idaho.gov/node/76865"" target=""_top"">Salmon A-Tag Limits</a> <a href=""https://idfg.idaho.gov/node/76866"""" target=""_top"">Salmon B-Tag Limits</a>","<a href=""https://idfg.idaho.gov/node/76989"" target=""_top"">Unit 21A</a>"
27,27,19,25,905b4813-1546-463f-a757-d7253c315666,idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",Selway,19,"<a href=""https://idfg.idaho.gov/node/76968"" target=""_top"">Unit 19</a>","<a href=""https://idfg.idaho.gov/node/76869"" target=""_top"">Selway A-Tag Limits</a> <a href=""https://idfg.idaho.gov/node/76870"""" target=""_top"">Selway B-Tag Limits</a>",No White-tailed Deer Opportunity
28,28,20A,28,28d03b46-0a4e-4553-a626-e84f02bb22ed,idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",Middle Fork,20A,"<a href=""https://idfg.idaho.gov/node/76965"" target=""_top"">Unit 20A</a>","<a href=""https://idfg.idaho.gov/node/76855"" target=""_top"">Middle Fork A-Tag Limits</a> <a href=""https://idfg.idaho.gov/node/76856"""" target=""_top"">Middle Fork B-Tag Limits</a>","<a href=""https://idfg.idaho.gov/node/77037"" target=""_top"">Unit 20A</a>"
29,29,19A,26,fc64e0c3-37a9-44d2-9036-f4e8212239dc,idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",McCall,19A,"<a href=""https://idfg.idaho.gov/node/76970"" target=""_top"">Unit 19A</a>","<a href=""https://idfg.idaho.gov/node/76853"" target=""_top"">McCall A-Tag Limits</a> <a href=""https://idfg.idaho.gov/node/76854"""" target=""_top"">McCall B-Tag Limits</a>","<a href=""https://idfg.idaho.gov/node/77036"" target=""_top"">Unit 19A</a>"
30,30,23,32,07fb856c-0c0d-4a82-8f1f-51f3462a4d1a,idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",McCall,23,"<a href=""https://idfg.idaho.gov/node/76900"" target=""_top"">Unit 23</a>","<a href=""https://idfg.idaho.gov/node/76853"" target=""_top"">McCall A-Tag Limits</a> <a href=""https://idfg.idaho.gov/node/76854"""" target=""_top"">McCall B-Tag Limits</a>","<a href=""https://idfg.idaho.gov/node/77006"" target=""_top"">Unit 23</a>"
31,31,28,37,03ebaba5-3ed9-407a-a4e4-0faee288d6ac,idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",Salmon,28,"<a href=""https://idfg.idaho.gov/node/76891"" target=""_top"">Unit 28</a>","<a href=""https://idfg.idaho.gov/node/76865"" target=""_top"">Salmon A-Tag Limits</a> <a href=""https://idfg.idaho.gov/node/76866"""" target=""_top"">Salmon B-Tag Limits</a>","<a href=""https://idfg.idaho.gov/node/76977"" target=""_top"">Unit 28</a>"
32,32,22,31,7ea9811f-b478-4822-9faa-e03980bf4aa4,idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",Weiser River,22,"<a href=""https://idfg.idaho.gov/node/76938"" target=""_top"">Unit 22</a>","<a href=""https://idfg.idaho.gov/node/76878"" target=""_top"">Weiser River A-Tag Limits</a> <a href=""https://idfg.idaho.gov/node/76879"""" target=""_top"">Weiser River B-Tag Limits</a>","<a href=""https://idfg.idaho.gov/node/77015"" target=""_top"">Unit 22</a>"
33,33,26,35,b0602994-cbf6-449c-bd9f-6e3979ffe0d5,idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",Middle Fork,26,"<a href=""https://idfg.idaho.gov/node/76960"" target=""_top"">Unit 26</a>","<a href=""https://idfg.idaho.gov/node/76855"" target=""_top"">Middle Fork A-Tag Limits</a> <a href=""https://idfg.idaho.gov/node/76856"""" target=""_top"">Middle Fork B-Tag Limits</a>","<a href=""https://idfg.idaho.gov/node/77034"" target=""_top"">Unit 26</a>"
34,34,27,36,f781ebb5-b4f9-407a-bf88-f07db5c5bdda,idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",Middle Fork,27,"<a href=""https://idfg.idaho.gov/node/76963"" target=""_top"">Unit 27</a>","<a href=""https://idfg.idaho.gov/node/76855"" target=""_top"">Middle Fork A-Tag Limits</a> <a href=""https://idfg.idaho.gov/node/76856"""" target=""_top"">Middle Fork B-Tag Limits</a>",No White-tailed Deer Opportunity
35,35,30,39,3dc7541f-9e97-4f9b-ab70-72d479abd7fd,idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",Beaverhead,30,"<a href=""https://idfg.idaho.gov/node/76895"" target=""_top"">Unit 30</a>","<a href=""https://idfg.idaho.gov/node/76838"" target=""_top"">Beaverhead A-Tag Limits</a>","<a href=""https://idfg.idaho.gov/node/76986"" target=""_top"">Unit 30</a>"
36,36,24,33,44d39a70-a52f-4594-bbd2-4c02f0917415,idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",McCall,24,"<a href=""https://idfg.idaho.gov/node/76936"" target=""_top"">Unit 24</a>","<a href=""https://idfg.idaho.gov/node/76853"" target=""_top"">McCall A-Tag Limits</a> <a href=""https://idfg.idaho.gov/node/76854"""" target=""_top"">McCall B-Tag Limits</a>","<a href=""https://idfg.idaho.gov/node/76991"" target=""_top"">Unit 24</a>"
37,37,29,38,548b207b-91c4-429a-aac8-37a19ef54fb7,idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",Lemhi,29,"<a href=""https://idfg.idaho.gov/node/76894"" target=""_top"">Unit 29</a>","<a href=""https://idfg.idaho.gov/node/76850"" target=""_top"">Lemhi A-Tag Limits</a>","<a href=""https://idfg.idaho.gov/node/76985"" target=""_top"">Unit 29</a>"
38,38,25,34,88e98da9-eebc-485c-aa63-83ac660fc303,idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",McCall,25,"<a href=""https://idfg.idaho.gov/node/76912"" target=""_top"">Unit 25</a>","<a href=""https://idfg.idaho.gov/node/76853"" target=""_top"">McCall A-Tag Limits</a> <a href=""https://idfg.idaho.gov/node/76854"""" target=""_top"">McCall B-Tag Limits</a>",No White-tailed Deer Opportunity
39,39,32A,43,7086e6f0-a4e6-4d2c-8012-8f400afb8f5c,idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",Weiser River,32A,"<a href=""https://idfg.idaho.gov/node/76951"" target=""_top"">Unit 32A</a>","<a href=""https://idfg.idaho.gov/node/76878"" target=""_top"">Weiser River A-Tag Limits</a> <a href=""https://idfg.idaho.gov/node/76879"""" target=""_top"">Weiser River B-Tag Limits</a>","<a href=""https://idfg.idaho.gov/node/76987"" target=""_top"">Unit 32A</a>"
40,40,31,41,c6e6467e-5486-41ce-9063-ba59a9315a86,idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",Brownlee,31,"<a href=""https://idfg.idaho.gov/node/76934"" target=""_top"">Unit 31</a>","<a href=""https://idfg.idaho.gov/node/76843"" target=""_top"">Brownlee A-Tag Limits</a>",No White-tailed Deer Opportunity
41,41,36B,49,d176aa8a-6a39-40b3-964a-4629dcf67ced,idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",Salmon,36B,"<a href=""https://idfg.idaho.gov/node/76886"" target=""_top"">Unit 36B</a>","<a href=""https://idfg.idaho.gov/node/76865"" target=""_top"">Salmon A-Tag Limits</a> <a href=""https://idfg.idaho.gov/node/76866"""" target=""_top"">Salmon B-Tag Limits</a>","<a href=""https://idfg.idaho.gov/node/77029"" target=""_top"">Unit 36B</a>"
42,42,37A,51,926590ab-8107-45bb-b91d-297cecc88d7b,idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",Lemhi,37A,"<a href=""https://idfg.idaho.gov/node/76890"" target=""_top"">Unit 37A</a>","<a href=""https://idfg.idaho.gov/node/76850"" target=""_top"">Lemhi A-Tag Limits</a>","<a href=""https://idfg.idaho.gov/node/76974"" target=""_top"">Unit 37A</a>"
43,43,30A,40,caa256df-d1f2-451b-a38c-462a806a2416,idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",Beaverhead,30A,"<a href=""https://idfg.idaho.gov/node/76889"" target=""_top"">Unit 30A</a>","<a href=""https://idfg.idaho.gov/node/76838"" target=""_top"">Beaverhead A-Tag Limits</a>",No White-tailed Deer Opportunity
44,44,61,78,34aeac37-3c46-41b2-884c-e69b3d2f0b8f,idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",Island Park,61,"<a href=""https://idfg.idaho.gov/node/76947"" target=""_top"">Unit 61</a>","<a href=""https://idfg.idaho.gov/node/76849"" target=""_top"">Island Park A-Tag Limits</a>","<a href=""https://idfg.idaho.gov/node/76995"" target=""_top"">Unit 61</a>"
45,45,37,50,5da30652-0df8-4c00-b877-528c1a2566fb,idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",Lemhi,37,"<a href=""https://idfg.idaho.gov/node/76916"" target=""_top"">Unit 37</a>","<a href=""https://idfg.idaho.gov/node/76850"" target=""_top"">Lemhi A-Tag Limits</a>","<a href=""https://idfg.idaho.gov/node/77004"" target=""_top"">Unit 37</a>"
46,46,32,42,9573b6a7-edf6-4905-9510-8ef214a3e451,idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",Weiser River,32,"<a href=""https://idfg.idaho.gov/node/76957"" target=""_top"">Unit 32</a>","<a href=""https://idfg.idaho.gov/node/76878"" target=""_top"">Weiser River A-Tag Limits</a> <a href=""https://idfg.idaho.gov/node/76879"""" target=""_top"">Weiser River B-Tag Limits</a>","<a href=""https://idfg.idaho.gov/node/76980"" target=""_top"">Unit 32</a>"
47,47,34,45,6c2e83de-614a-42ac-9d19-09464bfba870,idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",Sawtooth,34,"<a href=""https://idfg.idaho.gov/node/76907"" target=""_top"">Unit 34</a>","<a href=""https://idfg.idaho.gov/node/76867"" target=""_top"">Sawtooth A-Tag Limits</a> <a href=""https://idfg.idaho.gov/node/76868"""" target=""_top"">Sawtooth B-Tag Limits</a>",No White-tailed Deer Opportunity
48,48,33,44,6e7e0ff7-2685-43ea-b3ec-e173b152a4b2,idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",Sawtooth,33,"<a href=""https://idfg.idaho.gov/node/76931"" target=""_top"">Unit 33</a>","<a href=""https://idfg.idaho.gov/node/76867"" target=""_top"">Sawtooth A-Tag Limits</a> <a href=""https://idfg.idaho.gov/node/76868"""" target=""_top"">Sawtooth B-Tag Limits</a>","<a href=""https://idfg.idaho.gov/node/77016"" target=""_top"">Unit 33</a>"
